,year,ccode,GDP,log_GDP,GDP_growth,Country,PDebt,LTrate,rminusg,population,log_population,pop_growth,CAbalance,rgNegative,primaryFB,outputgap,real_GDP_growth,ka_open,finreform,inflation,geopoliticalRisk,VIX,REER,TaxRevenue,FiscalBalance,Freedom_Index_overall,Freedom_Index_Property_Rights,lengthRGepisode,InitialPDebtRGepisode,YNRGepisode,EuroMembership,BankingCrisis,EuroCrisis,PeripheryEuroCrisis,EuroCrisis2012,GDP_World_Bank,Net_foreign_assets_World_Bank,World_GDP,LTrate_Germany,LTrate_USA,kof_econ,kof_trade,kof_financial,PeripheryEuroCrisis20082015,EuroCrisis20082015,Post2007,safe_haven_past,lead_rminusg_1,lead_rminusg_2,lead_rminusg_3,lead_rminusg_4,lead_rminusg_5,lead_rminusg_6,lead_rminusg_7,lead_rminusg_8,lead_rminusg_9,lead_rminusg_10,EuroCrisis20082012,Standalone20102012,Standalone20082012,Standalone20082015,kof_financial_df,kof_financial_dj,safe_Germany,safe_USA,safe_benchmark,Inflation_difference_Germany,Inflation_difference_USA,spread_Germany,rminusg_future3,rminusg_future5,rminusg_future10,LTrate_future3,LTrate_future5,LTrate_future10,GDP_growth_future3,GDP_growth_future5,GDP_growth_future10,PDebt_future3,PDebt_future5,PDebt_future10,Eurozone
223,1999,CAN,846421.343,13.64877256,6.467532612,Canada,88.965669,5.541102,-0.926430612,30401286,17.22999547,0.812842624,0.1246073,1,9.242038362,0.865,3.970482637,1,1,1.734842951,50.57,24.37297619,75.25701887,246.457,1.655576247,69.3,90,0,0,0,0,0,0,0,0,6.78E+11,-7087900148,3.26E+13,4.49061,5.636667,70.21,59.86,80.55,0,0,0,0.122682138,0.337635532,0.242431925,3.809240752,3.428314277,1.852350918,2.276630606,4.926986277,8.232090175,6.878109755,3.647194508,0,0,0,0,76.04,85.05,0.519418197,0.972749932,0.972749932,1.149409807,-0.453184246,1.050492,0.988245311,0.285183292,0.194698095,5.565530333,5.2173484,4.5467119,4.577285022,4.932165108,4.352013805,80.50090333,77.8607814,74.3912189,0
224,2000,CAN,901029.605,13.71129339,6.252083801,Canada,80.436608,5.925412,-0.326671801,30685730,17.23930828,0.931281553,2.483228327,1,9.692777408,2.3,4.917762744,1,1,2.719439957,37.67,23.32023715,75.62580507,262.765,2.639703961,70.5,90,2,93.290188,1,0,0,0,0,0,7.45E+11,4366603614,3.37E+13,5.263958,6.029167,71.08,61.76,80.4,0,0,0,0.057649814,-0.926430612,0.337635532,0.242431925,3.809240752,3.428314277,1.852350918,2.276630606,4.926986277,8.232090175,6.878109755,0,0,0,0,75.64,85.16,0.57246962,0.971503895,0.971503895,1.27917177,-0.657417314,0.661454,0.956623779,-0.401662098,0.130713407,5.193907667,4.8456518,4.2776847,4.237283888,5.247313898,4.146971293,78.992633,75.9015418,74.469533,0
225,2001,CAN,937274.87,13.75073187,3.943847534,Canada,81.462033,5.480272,1.536424466,31020902,17.25017179,1.086350966,2.132369792,0,7.059324115,0.657,1.405527589,1,1,2.52512014,112.74,25.74967742,73.40422813,251.952,0.529468967,71.2,90,0,0,0,0,0,0,0,0,7.39E+11,5408650000,3.34E+13,4.796749,5.0175,70.05,60.21,79.88,0,0,0,0.013061806,-0.326671801,-0.926430612,0.337635532,0.242431925,3.809240752,3.428314277,1.852350918,2.276630606,4.926986277,8.232090175,0,0,0,0,74.23,85.53,0.618257751,0.970251086,0.970251086,0.541263204,-0.301050979,0.683523,0.072054598,-1.025903423,-0.222212868,4.893686,4.5911494,4.0079611,4.821631402,5.617052823,4.230173968,75.80175533,73.5931016,74.5011171,0
226,2002,CAN,971009.088,13.78609111,3.535923733,Canada,79.604069,5.290907,1.754983267,31360079,17.26104627,1.087447927,1.645030324,0,5.517159339,0.489,3.422146171,1,1,2.258394409,173.67,27.29246032,72.76319195,251.511,-0.233895789,74.6,90,0,0,0,0,0,0,0,0,7.61E+11,4899535000,3.47E+13,4.783661,4.610833,66.27,59.05,73.48,0,0,0,0.015579633,1.536424466,-0.326671801,-0.926430612,0.337635532,0.242431925,3.809240752,3.428314277,1.852350918,2.276630606,4.926986277,0,0,0,0,74.38,72.58,0.632416591,0.971999195,0.971999195,0.837588804,0.672362782,0.507246,-1.76657274,-1.463249322,-0.467639295,4.485693333,4.3869214,3.6662114,6.252266074,5.850170722,4.133850695,72.813869,71.0445776,75.081336,0
227,2003,CAN,1023165.602,13.83841191,5.232080397,Canada,75.911797,4.810544,-0.421536397,31644028,17.27006,0.901372739,1.164988138,1,5.217705243,-0.566,3.811090153,1,1,2.758563214,203.43,21.98285714,80.95129781,292.998,-0.126957865,74.8,90,0,0,0,0,0,0,0,0,8.96E+11,5288051000,3.89E+13,4.071143,4.015,67.7,58.62,76.78,0,0,0,0.028180269,1.754983267,1.536424466,-0.326671801,-0.926430612,0.337635532,0.242431925,3.809240752,3.428314277,1.852350918,2.276630606,0,0,0,0,74.02,79.54,0.65939994,0.973906449,0.973906449,1.724335448,0.488468241,0.739401,-2.154321328,-1.28523062,-0.768745927,4.284765333,4.145873,3.4113529,6.439086661,5.43110362,4.180098827,70.81654733,69.4450204,76.0993169,0
228,2004,CAN,1083146.524,13.89538081,5.696890076,Canada,71.8894,4.579607,-1.117283076,31940655,17.27939021,0.933020777,2.263150764,1,5.675693684,-0.058,3.914028782,1,1,1.857258719,106.45,15.47964427,85.442491,335.836,0.767669538,75.3,90,0,0,0,0,0,0,0,0,1.03E+12,5092942000,4.39E+13,4.037231,4.274167,68.21,58.61,77.8,0,0,0,0.030006857,-0.421536397,1.754983267,1.536424466,-0.326671801,-0.926430612,0.337635532,0.242431925,3.809240752,3.428314277,1.852350918,0,0,0,0,75.62,79.99,0.689607531,0.975918768,0.975918768,0.19152531,-0.819977974,0.542376,-1.925809046,0.104212898,-0.857701704,4.181485333,3.8760754,3.1764752,6.107294379,3.771862502,4.034176904,69.14056367,70.9216564,77.4683332,0
229,2005,CAN,1171340.162,13.97365909,7.827827748,Canada,70.64041,4.066929,-3.760898748,32243753,17.28883488,0.944466927,1.869656187,1,6.081289261,0.863,4.995860869,1,1,2.213552034,67.62,12.80897233,90.53839519,383.179,1.553120098,75.8,90,0,0,0,0,0,0,0,0,1.17E+12,6576969000,4.75E+13,3.354017,4.29,67.95,58.21,77.69,0,0,0,-0.012814007,-1.117283076,-0.421536397,1.754983267,1.536424466,-0.326671801,-0.926430612,0.337635532,0.242431925,3.809240752,3.428314277,0,0,0,0,77.03,78.35,0.715464263,0.97728996,0.97728996,0.666642382,-1.179194811,0.712912,-0.515990424,0.663088911,-0.16436505,4.027609667,3.7097176,2.9219518,4.543600091,3.046628689,3.08631685,68.231764,73.0375242,79.5235226,0
230,2006,CAN,1241194.165,14.03158451,5.792542158,Canada,69.919832,4.20776,-1.584782158,32571174,17.29893822,1.010334503,1.363656246,1,6.139566646,1.514,4.165817627,1,NA,2.002025395,89.66,12.80361111,95.53419566,431.764,1.827604363,77.4,90,0,0,0,0,0,0,0,0,1.32E+12,10228198000,5.15E+13,3.764125,4.791667,67.74,56.36,79.12,0,0,0,-0.008353521,-3.760898748,-1.117283076,-0.421536397,1.754983267,1.536424466,-0.326671801,-0.926430612,0.337635532,0.242431925,3.809240752,0,0,0,0,78.75,79.48,0.742334991,0.977446716,0.977446716,0.424597136,-1.223918706,0.443635,1.955581798,0.581477687,-0.389491531,3.701896,3.4247728,2.6263516,1.746314202,2.843295113,3.015843131,71.34934667,75.4091326,81.7047998,0
231,2007,CAN,1300942.608,14.07859964,4.701513231,Canada,66.861449,4.269767,-0.431746231,32889025,17.30864957,0.971135141,0.752359497,1,5.845615756,1.852,6.868608857,1,NA,2.138383993,80.9,17.53593625,98.59505318,477.199,1.819655807,78,90,5,79.604069,1,0,0,0,0,0,1.47E+12,8260995000,5.81E+13,4.217113,4.629167,68.34,56.31,80.36,0,0,0,0.0024313,-1.584782158,-3.760898748,-1.117283076,-0.421536397,1.754983267,1.536424466,-0.326671801,-0.926430612,0.337635532,0.242431925,0,0,0,0,80.54,80.19,0.761332595,0.976098199,0.976098199,-0.159957804,-0.714288489,0.052654,1.777324315,0.527970733,-0.67719884,3.357020333,2.9455014,2.3777401,1.579696018,2.417530667,3.05493894,76.13544667,79.1180944,84.0735036,0
232,2008,CAN,1342396.613,14.10996709,3.136744884,Canada,67.914011,3.605302,0.468557116,33247118,17.31947864,1.082907116,0.204634001,0,3.980649845,1.285,1.007622695,1,NA,2.370270674,67.08,32.6955336,95.9858973,484.818,0.184485477,80.2,90,0,0,0,0,0,0,0,0,1.55E+12,11252023000,6.37E+13,3.984804,3.666667,67.32,57.69,76.95,0,0,1,0.064310074,-0.431746231,-1.584782158,-3.760898748,-1.117283076,-0.421536397,1.754983267,1.536424466,-0.326671801,-0.926430612,0.337635532,0,0,1,1,75.58,78.32,0.774720465,0.975981653,0.975981653,-0.258111075,-1.468829623,-0.379502,0.956859184,-0.252261234,-1.027772966,3.082931667,2.6768328,2.2450011,2.126072483,2.929094034,3.272774066,80.75673433,82.7536134,86.2567978,0
233,2009,CAN,1307953.077,14.08397394,-2.59931551,Canada,79.27258,3.230619,5.82993451,33628895,17.33089623,1.141758099,-2.966282423,0,-0.078086518,-3.211,-2.928400167,1,NA,0.299466803,60.78,31.47900794,91.57522837,445.313,-3.881351769,80.5,90,0,0,0,0,0,0,0,0,1.37E+12,NA,6.04E+13,3.222218,3.256667,67.03,55.47,78.59,0,0,1,-0.031066842,0.468557116,-0.431746231,-1.584782158,-3.760898748,-1.117283076,-0.421536397,1.754983267,1.536424466,-0.326671801,-0.926430612,0,0,1,1,78.45,78.72,0.788754893,0.977288397,0.977288397,-0.013270827,0.655013069,0.008401,-1.219545987,-1.819616306,-1.6767491,2.630528667,2.476875,2.0808275,3.850074654,4.296491306,3.7575766,82.80129367,84.01501,87.1914283,0
234,2010,CAN,1364079.668,14.12599052,4.20165868,Canada,81.219749,3.23514,-0.96651868,34004889,17.34201487,1.111864075,-3.596185671,1,-1.017197584,-1.754,3.08949462,1,NA,1.776871541,63.45,22.54888889,100,501.431,-4.737558582,80.4,90,0,0,0,0,0,0,0,0,1.62E+12,NA,6.62E+13,2.744305,3.214167,67.1,56.31,77.9,0,0,1,-0.031576743,5.82993451,0.468557116,-0.431746231,-1.584782158,-3.760898748,-1.117283076,-0.421536397,1.754983267,1.536424466,-0.326671801,0,1,1,1,78.55,77.24,0.804923863,0.978733804,0.978733804,0.67306238,0.136828099,0.490835,-2.041573999,-0.991819011,-1.755663591,2.306135,2.134186,1.952570556,4.347708999,3.126005011,2.925835169,84.425246,86.009521,90.8536534,0
235,2011,CAN,1430807.125,14.17374927,4.775874278,Canada,81.777874,2.783036,-1.992838278,34339328,17.35180184,0.978697787,-2.774006026,1,0.37315473,-0.354,3.146881372,1,NA,2.912135089,61.01,24.1770751,101.5631517,552.47,-3.308732553,80.8,90,0,0,0,0,0,0,0,0,1.79E+12,NA,7.35E+13,2.609223,2.785833,66.8,56.08,77.53,0,0,1,-0.086835519,-0.96651868,5.82993451,0.468557116,-0.431746231,-1.584782158,-3.760898748,-1.117283076,-0.421536397,1.754983267,1.536424466,0,1,1,1,77.65,77.41,0.818885385,0.97999195,0.97999195,0.836960564,-0.24470648,0.173813,-2.046241524,-1.36046075,-1.726016756,2.122066333,1.8279304,1.848762375,4.168307857,3.18839115,2.720275268,85.69247567,88.000467,91.86207333,0
236,2012,CAN,1468094.965,14.19947618,2.572691003,Canada,85.406258,1.87341,-0.699281003,34714222,17.36266002,1.085817263,-3.532247677,1,1.011328256,-0.407,1.762222549,1,NA,1.515678231,58.66,17.80164,101.0763368,570.109,-2.524517007,79.9,90,0,0,0,0,0,0,0,0,1.83E+12,NA,7.52E+13,1.49513,1.8025,67,56.59,77.41,0,0,1,-0.08859372,-1.992838278,-0.96651868,5.82993451,0.468557116,-0.431746231,-1.584782158,-3.760898748,-1.117283076,-0.421536397,1.754983267,0,1,1,1,78.89,75.93,0.83990378,0.981310869,0.981310869,-0.492812691,-0.553659034,0.37828,-0.755658591,-1.882368413,-1.872693292,2.004828,1.8099788,1.845241286,2.760486591,3.692347213,2.738723302,87.62115767,89.0289128,92.66905025,0
237,2013,CAN,1554122.745,14.25642179,5.694561716,Canada,86.091606,2.261959,-3.432602716,35082954,17.37322593,1.056591259,-3.146875451,1,1.927247093,0.041,2.329122506,1,NA,0.938291898,77.1,14.23011905,97.47711663,574.887,-1.494758567,79.4,90,0,0,0,0,0,0,0,0,1.85E+12,NA,7.73E+13,1.571408,2.350833,66.77,56.12,77.42,0,0,1,-0.033374927,-0.699281003,-1.992838278,-0.96651868,5.82993451,0.468557116,-0.431746231,-1.584782158,-3.760898748,-1.117283076,-0.421536397,0,0,0,1,79.21,75.63,0.854418208,0.982884168,0.982884168,-0.566429082,-0.526540758,0.690551,-0.89014001,-1.803284698,-1.612708388,1.668094333,1.8131694,1.775788333,2.558234343,3.616454098,2.316460671,89.50149033,89.7599822,93.60868514,0
238,2014,CAN,1621396.709,14.2987985,4.237670853,Canada,85.579563,2.23083,-2.006840853,35437435,17.38327931,1.005337579,-2.318921377,1,3.383330877,1.018,2.870036075,1,NA,1.906635907,119.33,14.17599206,91.48389784,564.62,0.17489616,80.2,90,5,79.27258,1,0,0,0,0,0,1.81E+12,NA,7.95E+13,1.163512,2.540833,69.55,58.86,80.24,0,0,1,-0.068957101,-3.432602716,-0.699281003,-1.992838278,-0.96651868,5.82993451,0.468557116,-0.431746231,-1.584782158,-3.760898748,-1.117283076,0,0,0,1,80.69,79.79,0.858261053,0.983918043,0.983918043,0.999837958,0.28441293,1.067318,-1.324132832,-1.533881895,-1.533881895,1.519035,1.68478,1.68478,2.843167832,3.218661895,1.996258974,91.15779833,90.3678466,94.94687217,0
239,2015,CAN,1594850.842,14.28229077,-1.650772797,Canada,91.192304,1.521695,3.172467797,35702908,17.3907427,0.746339478,-3.513987167,0,3.1126268,-0.147,0.659176864,1,NA,1.125241361,113.14,16.6740873,83.13268519,511.056,-0.061845591,79.1,90,0,0,0,0,0,0,0,0,1.56E+12,NA,7.52E+13,0.4953091,2.135833,69.38,58.91,79.84,0,0,1,-0.066926683,-2.006840853,-3.432602716,-0.699281003,-1.992838278,-0.96651868,5.82993451,0.468557116,-0.431746231,-1.584782158,-3.760898748,0,0,0,1,82.71,76.97,0.866607181,0.984631887,0.984631887,0.610820821,1.006614225,1.0263859,-3.394016811,-2.710469317,-2.710469317,1.771107333,1.72555125,1.72555125,5.165124144,2.725665328,2.725665328,90.67601467,95.6977858,95.6977858,0
240,2016,CAN,1678093.396,14.33316882,5.087804974,Canada,91.732604,1.251758,-3.836046974,36109487,17.40206619,1.132348655,-3.093111447,1,2.620838445,-0.949,1.001394414,1,NA,1.428759547,103.81,15.82563492,81.53079946,508.26,-0.453312335,78,90,0,0,0,0,0,0,0,0,1.53E+12,NA,7.64E+13,0.09157856,1.841667,70.07,59.11,81.03,0,0,1,-0.080113838,3.172467797,-2.006840853,-3.432602716,-0.699281003,-1.992838278,-0.96651868,5.82993451,0.468557116,-0.431746231,-1.584782158,0,0,0,0,83.95,78.12,0.875730371,0.985209099,0.985209099,0.937010922,0.167176341,1.16017944,-2.335276765,-2.335276765,-2.335276765,1.883482333,1.883482333,1.883482333,4.218759099,2.135130417,2.135130417,89.63810833,96.68908125,96.68908125,0
241,2017,CAN,1765763.154,14.38409354,5.092471319,Canada,90.548487,1.783652,-3.308819319,36545295,17.41406301,1.199682154,-2.803427477,1,2.830264905,0.374,3.039880225,1,NA,1.596884129,139.26,11.10194444,82.74543647,546.185,-0.112162665,78.5,88.3,0,0,0,0,0,0,0,0,1.65E+12,NA,8.13E+13,0.31638,2.33,70.7,59.4,81.99,0,0,1,-0.080850764,-3.836046974,3.172467797,-2.006840853,-3.432602716,-0.699281003,-1.992838278,-0.96651868,5.82993451,0.468557116,-0.431746231,0,0,0,0,85.67,78.31,0.883839655,0.985890242,0.985890242,0.087387571,-0.533225875,1.467272,-1.848505488,-1.848505488,-1.848505488,1.9333975,1.9333975,1.9333975,1.149350116,1.149350116,1.149350116,98.735946,98.735946,98.735946,0
242,2018,CAN,1862154.108,14.4372445,5.315096139,Canada,89.746953,2.277912,-3.037184139,37065178,17.42818849,1.412548033,-2.348379742,1,3.32656431,0.553,2.429547545,1,NA,2.268225672,176.52,16.63984064,82.29811094,569.952,0.275954119,77.7,87.5,0,0,0,0,0,0,0,0,1.72E+12,NA,8.63E+13,0.3964832,2.91,70.98,59.89,82.07,0,0,1,-0.128109955,-3.308819319,-3.836046974,3.172467797,-2.006840853,-3.432602716,-0.699281003,-1.992838278,-0.96651868,5.82993451,0.468557116,0,0,0,0,85.61,78.52,0.889069787,0.98632691,0.98632691,0.536058011,-0.174357625,1.8814288,-0.659826837,-0.659826837,-0.659826837,1.588883,1.588883,1.588883,-0.933522896,-0.933522896,-0.933522896,103.2304425,103.2304425,103.2304425,0
243,2019,CAN,1904502.917,14.4597316,2.248709837,Canada,88.618885,1.588883,-0.659826837,37593384,17.44233864,1.4150147,-2.049189485,1,3.560257965,0.358,1.861415379,NA,NA,1.949269024,177.4,15.38753968,81.51813117,580.848,0.539054629,77.7,87,4,91.192304,1,0,0,0,0,0,1.74E+12,NA,8.76E+13,-0.2536345,2.144167,NA,NA,NA,0,0,1,-0.059646756,-3.037184139,-3.308819319,-3.836046974,3.172467797,-2.006840853,-3.432602716,-0.699281003,-1.992838278,-0.96651868,5.82993451,0,0,0,0,NA,NA,0.892002313,0.986442539,0.986442539,0.503602009,0.137058949,1.8425175,NA,NA,NA,NA,NA,NA,-4.11575563,-4.11575563,-4.11575563,117.842,117.842,117.842,0
244,2020,CAN,1827709.388,14.41857404,-4.11575563,Canada,117.842,NA,NA,38005238,17.45323455,1.089591487,-1.926756523,NA,NA,-3.353,-5.402798553,NA,NA,0.716999632,132.3,29.20865079,80.62910111,NA,-10.65896263,78.2,87.7,0,0,0,0,0,0,0,0,1.64E+12,NA,8.47E+13,NA,NA,NA,NA,NA,0,0,1,NA,-0.659826837,-3.037184139,-3.308819319,-3.836046974,3.172467797,-2.006840853,-3.432602716,-0.699281003,-1.992838278,-0.96651868,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
245,1960,CHE,NA,NA,NA,Switzerland,NA,3.0925,NA,5327827,15.48845402,NA,NA,NA,NA,NA,NA,NA,NA,1.438794703,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,9522746719,1.01E+10,1.38E+12,6.425,4.116667,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,-0.097816857,-0.019181283,-3.3325,NA,NA,NA,3.108889,3.4486666,4.0999165,NA,NA,NA,NA,NA,NA,0
246,1961,CHE,NA,NA,NA,Switzerland,NA,2.955833,NA,5434294,15.50824017,1.978615059,NA,NA,NA,NA,NA,NA,NA,1.845397874,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,10712712465,1.09E+10,1.44E+12,5.875,3.8825,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,-0.448277922,0.774673726,-2.919167,NA,NA,-3.673612564,3.447222333,3.6903332,4.3309165,NA,NA,8.939445564,NA,NA,NA,0
247,1962,CHE,NA,NA,NA,Switzerland,NA,3.124167,NA,5573815,15.5335903,2.535012537,NA,NA,NA,NA,NA,NA,NA,4.315992878,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,11879982759,1.13E+10,1.55E+12,5.908333,3.945833,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1.472712792,3.11721953,-2.784166,NA,NA,-3.046289796,3.721111,3.9861664,4.5148331,NA,NA,8.160872796,NA,NA,NA,0
248,1963,CHE,NA,NA,NA,Switzerland,NA,3.246667,NA,5694247,15.55496692,2.137662821,NA,NA,NA,NA,NA,NA,NA,3.44021288,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,13063643796,1.21E+10,1.67E+12,6.05,4.0025,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0.473252017,2.200543459,-2.803333,NA,NA,-2.945913907,4.026944,4.211333,4.7495831,NA,NA,8.22035824,NA,NA,NA,0
249,1964,CHE,NA,NA,NA,Switzerland,NA,3.970833,NA,5789228,15.57150951,1.654258245,NA,NA,NA,NA,NA,NA,NA,3.080556871,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,14480556572,1.34E+10,1.82E+12,6.233333,4.186666,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0.744828776,1.801645306,-2.2625,NA,NA,-2.942391129,4.237777333,4.3971664,5.0654165,NA,NA,8.680516129,NA,NA,NA,0
250,1965,CHE,NA,NA,NA,Switzerland,NA,3.945833,NA,5856472,15.58305793,1.154842514,NA,NA,NA,NA,NA,NA,NA,3.414478608,NA,NA,NA,2.596,NA,NA,NA,0,0,0,0,0,0,0,0,15346741670,1.45E+10,1.99E+12,7.05,4.2825,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0.172149223,1.829309344,-3.104167,NA,NA,-1.32602554,4.379999667,4.7511664,5.3144165,NA,NA,7.20369214,NA,NA,NA,0
251,1966,CHE,NA,NA,NA,Switzerland,NA,4.164166,NA,5918002,15.59350945,1.045151743,NA,NA,NA,NA,NA,NA,NA,4.775979596,NA,NA,NA,2.893,NA,NA,NA,0,0,0,0,0,0,0,0,16480058705,1.68E+10,2.16E+12,8.125,4.923333,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1.242921018,1.760904219,-3.960834,NA,-3.673612564,-0.931882182,4.625277667,4.9714998,5.3962499,NA,8.939445564,6.660354349,NA,NA,NA,0
252,1967,CHE,NA,NA,NA,Switzerland,NA,4.603333,NA,5991785,15.60589992,1.239047247,NA,NA,NA,NA,NA,NA,NA,4.005196216,NA,NA,NA,3.114,NA,NA,NA,0,0,0,0,0,0,0,0,17740013179,1.77E+10,2.29E+12,6.958333,5.073333,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,2.209150709,1.232410593,-2.355,NA,-3.046289796,-1.425539137,4.996111,5.0434998,5.3404166,NA,8.160872796,6.91351528,NA,NA,NA,0
253,1968,CHE,NA,NA,NA,Switzerland,NA,4.3725,NA,6067714,15.61849249,1.259256348,NA,NA,NA,NA,NA,NA,NA,2.39582227,NA,NA,NA,3.486,NA,NA,NA,0,0,0,0,0,0,0,0,18942729779,2.29E+10,2.48E+12,6.45,5.645833,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0.925517878,-1.875973883,-2.0775,-3.673612564,-2.945913907,-1.732229679,5.293888667,5.2878332,5.2358333,8.939445564,8.22035824,6.950042179,NA,NA,NA,0
254,1969,CHE,NA,NA,NA,Switzerland,NA,4.9,NA,6136387,15.62974669,1.12542046,NA,NA,NA,NA,NA,NA,NA,2.48903599,NA,NA,NA,3.979,NA,NA,NA,0,0,0,0,0,0,0,0,20524886616,2.53E+10,2.73E+12,6.841667,6.670833,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0.576372044,-2.97335021,-1.941667,-3.046289796,-2.942391129,-2.315185524,5.314999667,5.7336666,5.0910833,8.160872796,8.680516129,7.336852191,NA,NA,NA,0
255,1970,CHE,47492.922,10.76833597,NA,Switzerland,NA,5.715833,NA,6180877,15.63697073,0.722403831,NA,NA,NA,NA,NA,NA,NA,3.615986786,NA,NA,NA,4.473,NA,NA,NA,0,0,0,0,0,0,0,0,NA,32172700000,2.99E+12,8.316667,7.348333,62.02,44.21,79.83,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,74.65,85.01,NA,NA,NA,0.165745119,-2.222268552,-2.600834,-2.945913907,-1.32602554,-2.922146927,5.274444333,5.8776666,4.99575,8.22035824,7.20369214,7.917896927,NA,NA,NA,0
256,1971,CHE,51934.076,10.85773042,8.939445564,Switzerland,NA,5.265833,-3.673612564,6213399,15.64221865,0.524791842,NA,1,NA,NA,NA,NA,NA,6.573221119,NA,NA,NA,5.243,NA,NA,NA,0,0,0,0,0,0,0,0,NA,40712700000,3.30E+12,7.991667,6.159167,61.6,43.37,79.83,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,74.65,85.01,NA,NA,NA,1.332246948,2.280454431,-2.725834,-2.69865065,-0.383536106,-3.060739905,5.895555667,5.821,5.0261667,8.594206317,6.204536106,8.086906605,NA,NA,NA,0
257,1972,CHE,55913.069,10.93155342,7.382300027,Switzerland,NA,4.963333,-2.418967027,6260956,15.64984345,0.76247999,NA,1,NA,NA,NA,NA,NA,6.660007042,NA,NA,NA,6.526,NA,NA,NA,0,0,0,0,0,0,0,0,NA,4.56E+10,3.81E+12,7.875,6.21,61.44,42.71,80.17,0,0,0,NA,-3.673612564,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,74.65,85.7,NA,NA,NA,1.175070323,3.387728795,-2.911667,-0.179182704,-0.777238874,-2.826691652,6.386389,5.6373334,4.9896667,6.565571704,6.414572274,7.816358352,NA,NA,NA,0
258,1973,CHE,60775.785,11.01494672,8.339329129,Switzerland,NA,5.594167,-2.745162129,6307347,15.6572257,0.738225529,NA,1,NA,NA,NA,NA,0.8095238,8.75467033,NA,NA,NA,9.66,NA,NA,NA,0,0,0,0,0,0,0,0,NA,44984500000,4.64E+12,9.308333,6.8425,62.79,45.06,80.51,0,0,0,NA,-2.418967027,-3.673612564,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,74.65,86.38,NA,NA,NA,1.722644606,2.576910266,-3.714166,1.082149542,-1.004019142,-2.582664499,6.1825,5.1838334,4.8476667,5.100350458,6.187852542,7.430331199,NA,NA,34.292568,0
259,1974,CHE,67208.608,11.11555661,10.06098979,Switzerland,NA,7.129167,-2.931822795,6341405,15.66261091,0.538520833,NA,1,NA,NA,NA,NA,0.8095238,9.767414319,NA,NA,NA,11.577,NA,NA,NA,4,0,0,0,0,0,0,0,NA,3.84E+10,5.35E+12,10.44167,7.5575,63.99,47.3,80.69,0,0,0,NA,-2.745162129,-2.418967027,-3.673612564,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,74.65,86.73,0.652733299,0.895691727,0.895691727,2.780981894,-1.287390481,-3.312503,0.596930184,-1.81342104,-2.485015962,5.154444333,4.4485,4.5900417,4.557514149,6.26192104,7.075057662,NA,NA,34.135132,0
